,year,length,CORNO,miles
3,2017,793.7354349538671,3.0,0.49320433334992286
4,2017,34820.964140544296,4.0,21.636743994599264
5,2017,38379.37881407318,5.0,23.8478403619202
6,2017,35080.77202316568,6.0,21.79818112831471
7,2017,84254.16107016541,7.0,52.35310849512868
8,2017,11542.392641138287,8.0,7.172110273956126
9,2017,14347.09012643566,9.0,8.914868493594756
10,2017,30600.346623083617,10.0,19.014173856798642
11,2017,88009.20894775912,11.0,54.68638707084615
12,2017,38914.91306477519,12.0,24.18060591763573
0,2018,2363589.7608468602,0.0,1468.6665870964084
1,2018,34091.244753207124,1.0,21.183317389064058
2,2018,4515.298777006262,2.0,2.805676583304523
3,2018,793.7354349538671,3.0,0.49320433334992286
4,2018,34820.964140544296,4.0,21.636743994599264
5,2018,38379.37881407318,5.0,23.8478403619202
6,2018,35080.77202316568,6.0,21.79818112831471
7,2018,84254.16107016541,7.0,52.35310849512868
8,2018,11542.392641138287,8.0,7.172110273956126
9,2018,14347.09012643566,9.0,8.914868493594756
10,2018,30600.346623083617,10.0,19.014173856798642
11,2018,88009.20894775912,11.0,54.68638707084615
12,2018,38914.91306477519,12.0,24.18060591763573
0,2019,2363585.028022511,0.0,1468.663646255701
1,2019,413.4588823146165,1.0,0.25691143854682097
2,2019,223.26106689777444,2.0,0.13872799526546184
3,2019,66.80749287593405,3.0,0.04151225148285065
4,2019,31169.661256455012,4.0,19.367929569159667
5,2019,38379.37881407318,5.0,23.8478403619202
6,2019,35080.77202316568,6.0,21.79818112831471
7,2019,84254.16107016541,7.0,52.35310849512868
8,2019,11542.392641138287,8.0,7.172110273956126
9,2019,882.7848799019696,9.0,0.5485370931042637
10,2019,0.02374807834397332,10.0,1.4756371748304089e-05
11,2019,19643.970327988238,11.0,12.206197258314683
12,2019,30454.841237810706,12.0,18.923761002109195
0,2020,2363585.028022511,0.0,1468.663646255701
1,2020,413.4588823146165,1.0,0.25691143854682097
2,2020,223.26106689777444,2.0,0.13872799526546184
3,2020,66.80749287593405,3.0,0.04151225148285065
4,2020,31169.661256455012,4.0,19.367929569159667
5,2020,10671.25796240907,5.0,6.630812280241615
6,2020,6171.375675460931,6.0,3.834715059740964
7,2020,84254.16107016541,7.0,52.35310849512868
8,2020,11542.392641138287,8.0,7.172110273956126
9,2020,882.7848799019696,9.0,0.5485370931042637
10,2020,0.02374807834397332,10.0,1.4756371748304089e-05
11,2020,19643.970327988238,11.0,12.206197258314683
12,2020,29089.887986734775,12.0,18.07561837346387
0,2021,2363585.028022511,0.0,1468.663646255701
1,2021,413.4588823146165,1.0,0.25691143854682097
2,2021,223.26106689777444,2.0,0.13872799526546184
3,2021,66.80749287593405,3.0,0.04151225148285065
4,2021,31169.661256455012,4.0,19.367929569159667
5,2021,10671.25796240907,5.0,6.630812280241615
6,2021,6171.375675460931,6.0,3.834715059740964
7,2021,84254.16107016541,7.0,52.35310849512868
8,2021,11542.392641138287,8.0,7.172110273956126
9,2021,882.7848799019696,9.0,0.5485370931042637
10,2021,0.02374807834397332,10.0,1.4756371748304089e-05
11,2021,19643.970327988238,11.0,12.206197258314683
12,2021,29089.887986734775,12.0,18.07561837346387
